"BehaviorSpace results (NetLogo 6.0.2)"
"ESPA Farmer Adaptation Model.nlogo"
"Thesis Experiment-Refined after interrupt"
"04/16/2019 21:19:15:828 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","308","0","216"
"[run number]","PerceptionThreshold","BeliefInSocialSanctionsAverage","FixRandomSeed?","Simulate-ESPA_CAMP","ExperimentVariablesFile","PrintReporters?","WriteCropBudgets?","IAC-PhysArous-Threshold","WriteDetailedCropBudgets?","F-Ratio-V","RandomStartingMoney","WriteOutputs?","F-Ratio-W","UseRandomRotations?","WaterRightDistribution","Run-Number","RandomSeed","TypicalAmountFarmerIsWillingToLosePerField","Animate?","ROISeasonTolerance","Social-Connections-per-Farmer","InputIntensityDistribution","Lognormal-Sigma","InternalScalar","IndividualFieldCalcs?","Tracers?","BeliefInESPASD","GeneratingWorlds?","BeliefInSocialSanctionsSD","ExternalScalar","NumberOfSeasons","EfficacyScalar","AcreageDistributionType","RhythmScalar","InterfaceVariableFileName","BeliefInESPAAverage","CustomFarmerAccess","PopulateMethod","BeliefsInEconomicSanctionsSD","water-preference","OffsetIrrigationWithSkill?","WorldFileName","ChargeForOverdraw","Consultants-per-Farmer","BeliefInEconomicSanctionsAverage","Use-Aqua-Crop","Decision-Making","PercVarWillingnessToLose","GWD","WaterRightSeniorityDistribution","[step]","count farmers","ExperimentName","RandomSeed","Decision-Making","ExperimentalToleranceforLoss","InternalScalar","ExternalScalar","EfficacyScalar","RhythmScalar","PerceptionThreshold","count patches with [owner != 0]","count farmers with [farmsize < 50]","count farmers with [farmsize > 50 AND farmsize < 100]","count farmers with [farmsize > 100 AND farmsize < 500]","count farmers with [farmsize > 500 AND farmsize < 1000]","count farmers with [farmsize > 1000 AND farmsize < 10000]","count farmers with [rotation = ""PotatoBeetGrainGrain""]","count farmers with [rotation = ""PotatoGrainBeetGrain""]","count farmers with [rotation = ""HayGrain""]","count farmers with [rotation = ""HayGrainPotatoGrain""]","count farmers with [rotation = ""PotatoGrainGrain""]","count farmers with [rotation = ""HayBarleyPotato""]","count farmers with [rotation = ""HayGrainGrainPotato""]","count farmers with [rotation = ""GrainPotatoBeetsHay""]","count farmers with [rotation = ""Landlord""]","count patches with [PreferredLandUse = ""Alfalfa""]","count patches with [PreferredLandUse = ""Barley""]","count patches with [PreferredLandUse = ""Corn""]","count patches with [PreferredLandUse = ""Potatoes""]","count patches with [PreferredLandUse = ""Spring Wheat""]","count patches with [PreferredLandUse = ""Sugarbeets""]","count patches with [PreferredLandUse = ""Winter Wheat""]","count patches with [PreferredLandUse = ""Alfalfa_Perennial""]","count patches with [TypeOfIrrigation = ""Center Pivot LEPA""]","count patches with [TypeOfIrrigation = ""Center Pivot LESA""]","count patches with [TypeOfIrrigation = ""Center Pivot MESA""]","count patches with [TypeOfIrrigation = ""Drip Tape""]","count patches with [TypeOfIrrigation = ""Furrow""]","NumberOfFarmersWithChangedWM"
"2","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs5.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","2","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16801","295","63","115","6","50","76","88","89","0","0","199","0","77","0","50","65","23","489","30","706","0","64","50","0","1073","10","294","[45 5]"
"1","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs4.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","2","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","80","71","30","470","19","691","0","57","54","0","1080","6","278","[51 3]"
"3","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs6.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","3","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16790","293","56","126","5","49","85","79","78","0","0","210","0","77","0","233","60","30","428","30","551","0","83","48","0","1095","4","268","[38 6 4]"
"4","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-1_RS-1_PT-0.25.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs4.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","3","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-1_RS-1_PT-0.25""","1","""IAC Framework""","2500","1.5","0.5","1","1","0.25","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","284","97","16","399","26","525","0","71","91","0","1048","6","273","[78 5 8]"
"2","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs5.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","3","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16801","295","63","115","6","50","76","88","89","0","0","199","0","77","0","264","63","28","378","42","571","0","81","54","0","1070","10","293","[45 5 4]"
"1","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs4.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","3","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","283","72","28","363","31","571","0","70","61","0","1074","6","277","[51 3 7]"
"3","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs6.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","4","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16790","293","56","126","5","49","85","79","78","0","0","210","0","77","0","47","61","28","478","26","680","0","95","48","0","1095","4","268","[38 6 4 0]"
"4","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-1_RS-1_PT-0.25.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs4.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","4","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-1_RS-1_PT-0.25""","1","""IAC Framework""","2500","1.5","0.5","1","1","0.25","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","15","90","26","483","23","701","0","80","92","0","1047","6","273","[78 5 8 1]"
"2","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs5.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","4","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16801","295","63","115","6","50","76","88","89","0","0","199","0","77","0","39","60","27","391","44","776","0","90","54","0","1070","10","293","[45 5 4 0]"
"1","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs4.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","4","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","63","75","31","395","27","749","0","78","62","0","1073","6","277","[51 3 7 1]"
"3","0.5","0.5","true","true","""/data/Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75.txt""","false","false","2.5","false","0","false","false","0","true","""Normal""","0","1","2500","false","5","3","""Random""","0","1","true","false","0.1","false","0.1","1","5","1","""Categorical""","1","""/data/InterfaceInputs6.txt""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","false","""IAC Framework""","5","""Magic Valley GWD""","""Uniform""","5","529","""Experiment_DM-IAC Framework_TFL-2500_CFO-100_IS-1.5_ES-0.5_EffS-0.5_RS-1_PT-0.75""","1","""IAC Framework""","2500","1.5","0.5","0.5","1","0.75","16790","293","56","126","5","49","85","79","78","0","0","210","0","77","0","181","53","153","355","357","180","0","136","52","0","1095","4","264","[38 6 4 0 4]"
